id,title,artist,genre,region,mood,energy,tempo_bpm,valence,danceability,acousticness
273,You Turn Me On,Black Coffee,house,southern africa,intense,0.826,77.6,0.566,0.399,0.005
274,Umusa Kankulunkulu (Mercy of God),Ladysmith Black Mambazo,isicathamiya,southern africa,chill,0.079,169.2,0.494,0.382,0.946
275,Baxabene Oxamu,Miriam Makeba,afropop,southern africa,relaxed,0.448,95.8,0.803,0.704,0.648
276,Loliwe,Zahara,afro soul,southern africa,intense,0.649,134.1,0.544,0.597,0.252
277,Ana Ayesh,Amr Diab,arabic pop,north africa & middle east,happy,0.672,83.2,0.833,0.681,0.614
278,Men Nazra,Nancy Ajram,arabic pop,north africa & middle east,happy,0.919,134.0,0.964,0.835,0.052
279,أنا سكتين,Elissa,arabic pop,north africa & middle east,intense,0.682,143.9,0.407,0.538,0.324
280,مستني ايه,Tamer Hosny,arabic pop,north africa & middle east,chill,0.559,102.0,0.407,0.502,0.615
281,Homa Dol,Saad Lamjarred,arabic pop,north africa & middle east,intense,0.723,144.1,0.554,0.619,0.217
282,Kan Endena Tahoun Sahar El Laialy,Fairuz,arabic classical,north africa & middle east,intense,0.643,71.0,0.534,0.46,0.837
283,Ya Mesaharny,Umm Kulthum,arabic classical,north africa & middle east,chill,0.525,100.7,0.425,0.418,0.771
284,Cookin Hardala,Khaled,rai,north africa & middle east,intense,0.771,83.4,0.526,0.617,0.304
285,Amira,Wegz,hip hop,north africa & middle east,relaxed,0.594,117.9,0.629,0.755,0.12
286,رايحين نسهر - بام بام,Mohamed Ramadan,arabic pop,north africa & middle east,happy,0.997,160.0,0.929,0.72,0.009
287,Öp,Tarkan,turkish pop,north africa & middle east,happy,0.749,130.0,0.801,0.783,0.039
288,Seni Yerler,Sezen Aksu,turkish pop,north africa & middle east,happy,0.813,119.0,0.761,0.752,0.032
289,Otro Atardecer,Bad Bunny,reggaeton,latin america,chill,0.595,108.0,0.546,0.777,0.59
290,UN DIA (ONE DAY) (Feat. Tainy),J Balvin,reggaeton,latin america,intense,0.693,168.2,0.393,0.571,0.005
291,UNA NOCHE EN MEDELLÍN - REMIX,KAROL G,reggaeton,latin america,happy,0.755,96.0,0.883,0.846,0.036
292,No Quiere Enamorarse,Ozuna,reggaeton,latin america,happy,0.728,81.9,0.751,0.711,0.22
293,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,reggaeton,latin america,chill,0.547,130.1,0.096,0.772,0.098
294,Dia de Enero,Shakira,latin pop,latin america,chill,0.361,165.7,0.526,0.687,0.35
295,La Media Vuelta,Luis Miguel,latin pop,latin america,happy,0.683,98.0,0.708,0.631,0.291
296,Bonita,Juanes,latin rock,latin america,happy,0.881,158.0,0.961,0.745,0.255
297,Prófugos - Remasterizado 2007,Soda Stereo,latin rock,latin america,intense,0.895,127.2,0.359,0.551,0.003
298,María la Curandera,Natalia Lafourcade,latin folk,latin america,relaxed,0.455,77.7,0.727,0.693,0.704
299,SANTAL 33,Peso Pluma,regional mexican,latin america,happy,0.764,125.1,0.735,0.715,0.666
300,Hecha Pa' Mí,Grupo Frontera,regional mexican,latin america,happy,0.832,98.6,0.716,0.742,0.086
301,La Bicicleta,Carlos Vives,vallenato,latin america,happy,0.944,180.0,0.951,0.745,0.21
302,El Padre Antonio y el Monaguillo Andrés (Live),Ruben Blades,salsa,latin america,happy,0.616,105.0,0.693,0.47,0.599
303,Aguanile,Marc Anthony,salsa,latin america,happy,0.785,122.4,0.678,0.623,0.083
304,La Vida Es Un Carnaval,Celia Cruz,salsa,latin america,happy,0.701,104.0,0.856,0.814,0.489
305,Imagina,Anitta,brazilian funk,latin america,happy,0.689,115.0,0.7,0.797,0.338
306,Meia Lua Inteira,Caetano Veloso,mpb,latin america,happy,0.625,103.7,0.925,0.743,0.43
307,"Não chores mais [No Woman, No Cry] (feat. Os Paralamas do Sucesso)",Gilberto Gil,mpb,latin america,chill,0.319,168.0,0.496,0.473,0.189
308,O Homem Da Gravata Florida,Jorge Ben Jor,samba,latin america,happy,0.651,112.1,0.773,0.568,0.583
309,Soul Rebel,Bob Marley,reggae,caribbean,chill,0.365,80.7,0.477,0.483,0.611
310,House Of Reggae,Burning Spear,reggae,caribbean,relaxed,0.545,139.4,0.888,0.793,0.004
311,Pain in Your Heart,Chronixx,reggae,caribbean,relaxed,0.596,168.9,0.694,0.737,0.026
312,Nice and Fast,Koffee,reggae,caribbean,relaxed,0.439,89.0,0.7,0.774,0.027
313,My Sweet Lord,Damian Marley,reggae,caribbean,relaxed,0.518,127.0,0.803,0.913,0.077
314,Dynamite,Sean Paul,dancehall,caribbean,happy,0.86,100.9,0.816,0.624,0.07
315,A Little More Time,Buju Banton,dancehall,caribbean,happy,0.607,173.3,0.707,0.76,0.11
316,Puni Police,Shenseea,dancehall,caribbean,happy,0.809,97.1,0.656,0.744,0.507
317,One Wine,Machel Montano,soca,caribbean,happy,0.943,195.6,0.823,0.506,0.078
318,Tack Back,Kes,soca,caribbean,intense,0.855,110.0,0.576,0.747,0.064
319,"Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]",Arijit Singh,bollywood,south asia,chill,0.58,172.4,0.353,0.29,0.491
320,"Kaana Mullal - From ""Salt & Pepper""",Shreya Ghoshal,bollywood,south asia,chill,0.586,110.0,0.422,0.64,0.7
321,"Main Parwaana - From ""Pippa""",A.R. Rahman,bollywood,south asia,happy,0.763,124.0,0.83,0.852,0.149
322,"Ek Tu Hi Bharosa (From ""Pukar"")",Lata Mangeshkar,bollywood,south asia,moody,0.362,84.0,0.233,0.339,0.515
323,Chamma Chamma,Neha Kakkar,bollywood,south asia,intense,0.94,100.0,0.406,0.723,0.019
324,"Hridayam Lopala (From ""Kingdom"")",Anirudh Ravichander,tamil pop,south asia,intense,0.871,120.0,0.299,0.695,0.102
325,Leharaayi,Sid Sriram,tamil pop,south asia,intense,0.608,92.0,0.476,0.78,0.245
326,"Ishq Da Chehra (From ""BORDER 2"")",Diljit Dosanjh,punjabi,south asia,happy,0.803,88.6,0.668,0.318,0.622
327,Dawood,Sidhu Moose Wala,punjabi,south asia,intense,0.834,86.0,0.47,0.664,0.033
328,Brown Munde,AP Dhillon,punjabi,south asia,intense,0.611,100.0,0.417,0.854,0.223
329,Hona Tha Pyar,Atif Aslam,pakistani pop,south asia,relaxed,0.542,103.0,0.782,0.687,0.571
330,5 Man Kunto Maula,Nusrat Fateh Ali Khan,qawwali,south asia,happy,0.73,99.0,0.703,0.425,0.518
331,Tala Rasa Ranga,Ravi Shankar,hindustani,south asia,relaxed,0.549,140.0,0.704,0.517,0.149
332,ON - Live,BTS,k-pop,east asia,intense,0.964,105.9,0.202,0.302,0.077
333,Champion,BLACKPINK,k-pop,east asia,intense,0.756,159.9,0.327,0.661,0.024
334,DIVINE,Stray Kids,k-pop,east asia,happy,0.858,99.0,0.608,0.633,0.008
335,OMG,NewJeans,k-pop,east asia,happy,0.771,127.0,0.739,0.804,0.357
336,Talk that Talk,TWICE,k-pop,east asia,happy,0.907,120.0,0.783,0.772,0.136
337,Untuk Mencintaimu,Seventeen,k-pop,east asia,intense,0.614,148.3,0.315,0.345,0.169
338,青花瓷,Jay Chou,mandopop,east asia,chill,0.497,108.0,0.575,0.69,0.227
339,愛人,Teresa Teng,mandopop,east asia,relaxed,0.586,122.1,0.634,0.728,0.402
340,不為誰而作的歌,JJ Lin,mandopop,east asia,intense,0.641,145.1,0.252,0.402,0.534
341,Plazma,Kenshi Yonezu,j-pop,east asia,happy,0.904,173.1,0.635,0.603,0.022
342,夜に駆ける,YOASOBI,j-pop,east asia,happy,0.871,130.0,0.826,0.663,0.003
343,きらり,Fujii Kaze,j-pop,east asia,happy,0.764,117.0,0.701,0.746,0.008
344,Gimme Chocolate!!,BABYMETAL,j-metal,east asia,intense,0.985,110.0,0.44,0.616,0.0
345,Little Prince (feat. NIKI),Rich Brian,hip hop,southeast asia,relaxed,0.414,140.0,0.761,0.909,0.166
346,La La Lost You - Acoustic Version,NIKI,indie pop,southeast asia,moody,0.196,101.2,0.39,0.617,0.908
347,Interaksi,Tulus,indo pop,southeast asia,relaxed,0.344,177.7,0.751,0.464,0.778
348,Jatuh Hati,Raisa,indo pop,southeast asia,moody,0.355,132.1,0.234,0.536,0.813
349,Overdose (feat. Chris Brown),AGNEZ MO,indo pop,southeast asia,intense,0.616,141.0,0.543,0.405,0.231
350,Kathang Isip,Ben&Ben,opm,southeast asia,moody,0.314,126.9,0.295,0.491,0.776
351,Paubaya,Moira Dela Torre,opm,southeast asia,moody,0.245,127.1,0.174,0.373,0.766
352,Umaaligid - Extended Ver.,Sarah Geronimo,opm,southeast asia,intense,0.856,113.0,0.467,0.717,0.075
353,失眠航班（Sleepless on the plane),Phum Viphurit,indie pop,southeast asia,moody,0.325,140.0,0.343,0.636,0.716
354,Set Fire to the Rain,Adele,pop,europe,intense,0.67,108.0,0.446,0.603,0.004
355,Freedom,Ed Sheeran,pop,europe,intense,0.686,205.2,0.391,0.439,0.59
356,Orphans,Coldplay,rock,europe,intense,0.808,108.0,0.282,0.503,0.026
357,Happy For You,Dua Lipa,pop,europe,intense,0.705,120.0,0.327,0.59,0.016
358,Ma Meilleure Ennemie ft. Coldplay,Stromae,french pop,europe,intense,0.662,88.1,0.398,0.58,0.014
359,Pookie,Aya Nakamura,french pop,europe,chill,0.598,98.0,0.533,0.912,0.072
360,L'accordeoniste (From 'Christmas Songs'1951),Edith Piaf,chanson,europe,chill,0.184,109.4,0.559,0.617,0.943
361,Around the World,Daft Punk,electronic,europe,happy,0.795,121.3,0.841,0.956,0.004
362,Just One Last Time (feat. Taped Rai),David Guetta,electronic,europe,intense,0.814,128.0,0.208,0.532,0.021
363,Los Dos,Rosalia,flamenco pop,europe,chill,0.45,122.5,0.535,0.532,0.82
364,Angst,Rammstein,metal,europe,intense,0.86,112.0,0.328,0.639,0.0
365,Neon Lights - 2009 Remaster,Kraftwerk,electronic,europe,happy,0.978,104.8,0.661,0.71,0.055
366,Super Trouper,ABBA,pop,europe,happy,0.626,118.3,0.961,0.764,0.457
367,Call Out My Name,The Weeknd,synthpop,north america,chill,0.593,134.2,0.174,0.461,0.165
368,Finesse - Remix; feat. Cardi B,Bruno Mars,funk,north america,happy,0.859,105.1,0.926,0.704,0.018
369,Bored,Billie Eilish,pop,north america,moody,0.318,120.0,0.112,0.614,0.896
370,girl i’ve always been,Olivia Rodrigo,pop rock,north america,relaxed,0.571,92.9,0.826,0.53,0.404
371,squabble up,Kendrick Lamar,hip hop,north america,happy,0.672,103.9,0.711,0.874,0.021
372,Marvins Room,Drake,hip hop,north america,moody,0.26,111.5,0.312,0.492,0.646
373,Diamond Boy (DTM),SZA,r&b,north america,moody,0.374,133.0,0.397,0.642,0.827
374,Ivy,Frank Ocean,r&b,north america,chill,0.386,116.4,0.466,0.575,0.785
375,Faith,Stevie Wonder,soul,north america,happy,0.87,158.1,0.945,0.734,0.105
376,Save Me,Aretha Franklin,soul,north america,chill,0.481,120.5,0.523,0.845,0.44
377,I Got Stripes,Johnny Cash,country,north america,relaxed,0.556,103.6,0.915,0.711,0.71
378,Once Upon a Christmas,Dolly Parton,country,north america,moody,0.249,67.1,0.211,0.4,0.876
379,Bags Groove,Miles Davis,jazz,north america,chill,0.315,136.4,0.489,0.59,0.918
380,Liberia,John Coltrane,jazz,north america,chill,0.422,117.8,0.446,0.481,0.794
381,Drain You,Nirvana,rock,north america,intense,0.929,133.4,0.198,0.325,0.0
382,One,Metallica,metal,north america,intense,0.691,103.3,0.433,0.439,0.001
383,Oblivion,Tame Impala,psych rock,oceania,happy,0.853,105.0,0.777,0.689,0.097
384,Sunshine,Sia,pop,oceania,happy,0.849,118.0,0.604,0.625,0.093
385,Shoot to Thrill,AC/DC,rock,oceania,intense,0.904,141.0,0.48,0.457,0.0
386,My Oh My (with Bebe Rexha & Tove Lo),Kylie Minogue,pop,oceania,intense,0.65,125.1,0.496,0.654,0.016
387,This Song Is Not About A Girl,Flume,electronic,oceania,happy,0.671,140.0,0.61,0.762,0.145
388,Hammer,Lorde,art pop,oceania,intense,0.608,95.2,0.205,0.44,0.445
389,Kia Mau Ki Tō Ūkaipō / Don't Forget Your Roots,SIX60,pop,oceania,relaxed,0.58,147.9,0.645,0.64,0.205
390,Māori Ki Te Ao,Stan Walker,r&b,oceania,intense,0.603,72.9,0.581,0.621,0.041
391,Waah! (feat. Koffi Olomide),Diamond Platnumz,bongo,east africa,happy,0.905,113.9,0.923,0.805,0.459
392,Aiyola,Harmonize,bongo,east africa,happy,0.722,91.6,0.854,0.641,0.142
393,Chuchumaa,Rayvanny,bongo,east africa,happy,0.674,97.0,0.7,0.835,0.148
394,Huku,Alikiba,bongo,east africa,intense,0.749,112.0,0.586,0.86,0.308
395,Pwita,Zuchu,bongo,east africa,intense,0.861,172.0,0.511,0.633,0.185
396,Shetani (feat. Costa Titch & Alfa Kat),Mbosso,bongo,east africa,intense,0.769,113.0,0.57,0.788,0.095
397,Mlete,Nandy,bongo,east africa,intense,0.909,137.9,0.438,0.805,0.03
398,Naogopa,Marioo,bongo,east africa,happy,0.81,184.2,0.72,0.719,0.442
399,Lucky Now,Jux,bongo,east africa,chill,0.182,66.5,0.468,0.554,0.72
400,Short N Sweet,Sauti Sol,afropop,east africa,happy,0.685,173.9,0.681,0.664,0.055
401,Dopamine,Nyashinski,afropop,east africa,intense,0.737,119.9,0.491,0.747,0.469
402,Such Kinda Love,Otile Brown,afropop,east africa,happy,0.827,94.0,0.786,0.745,0.303
403,Too Easy,Bien,afropop,east africa,happy,0.712,96.0,0.803,0.79,0.091
404,Nikilewa,Nviiri The Storyteller,afropop,east africa,chill,0.556,80.9,0.469,0.731,0.267
405,Wrong Number,Khaligraph Jones,hip hop,east africa,happy,0.79,96.1,0.619,0.843,0.106
406,Bingiri,Willy Paul,afropop,east africa,happy,0.615,162.1,0.86,0.73,0.499
407,Blessed,Eddy Kenzo,afropop,east africa,relaxed,0.529,100.0,0.803,0.778,0.648
408,Wankona,Sheebah Karungi,afropop,east africa,happy,0.89,101.0,0.961,0.797,0.288
409,Go Mama,Bebe Cool,afropop,east africa,happy,0.629,82.0,0.87,0.617,0.307
410,Hilm Aydegemem,Teddy Afro,ethio pop,east africa,relaxed,0.587,117.9,0.788,0.695,0.104
411,Sew Mehonne,Aster Aweke,ethio pop,east africa,moody,0.332,117.8,0.387,0.466,0.55
412,Munayé (My Muna),Mulatu Astatke,ethio jazz,east africa,relaxed,0.501,115.5,0.643,0.834,0.921
413,TaTaTa - Spotify Sessions,Burna Boy,afrobeats,west africa,relaxed,0.535,124.0,0.66,0.881,0.083
414,Diamonds,Wizkid,afrobeats,west africa,happy,0.788,100.0,0.743,0.759,0.049
415,NA MONEY (feat. The Cavemen. & Angélique Kidjo),Davido,afrobeats,west africa,happy,0.774,180.0,0.63,0.668,0.175
416,Charm,Rema,afrobeats,west africa,intense,0.663,96.0,0.542,0.762,0.569
417,Remember,Asake,afrobeats,west africa,happy,0.675,112.0,0.783,0.755,0.512
418,Last Heartbreak Song (feat. Giveon),Ayra Starr,afrobeats,west africa,happy,0.624,90.0,0.618,0.685,0.318
419,Love Me JeJe,Tems,afrobeats,west africa,chill,0.516,104.0,0.531,0.834,0.156
420,everyday,Fireboy DML,afrobeats,west africa,happy,0.657,100.1,0.932,0.887,0.153
421,I AM,Omah Lay,afrobeats,west africa,intense,0.759,122.0,0.338,0.715,0.195
422,MEGA MONEY MEGA,Tiwa Savage,afrobeats,west africa,intense,0.655,115.0,0.492,0.842,0.031
423,Felony,CKay,afrobeats,west africa,happy,0.689,102.9,0.709,0.701,0.463
424,Body & Soul,Joeboy,afrobeats,west africa,intense,0.666,101.0,0.512,0.805,0.341
425,Na Gode,Yemi Alade,afropop,west africa,happy,0.842,170.9,0.955,0.523,0.282
426,Oh My Gawd,Mr Eazi,afrobeats,west africa,happy,0.867,94.1,0.83,0.83,0.15
427,Odogwu,Flavour,highlife,west africa,happy,0.872,104.1,0.95,0.729,0.735
428,E No Easy,P-Square,afropop,west africa,happy,0.933,215.8,0.817,0.648,0.241
429,No Agreement,Fela Kuti,afrobeat,west africa,happy,0.831,99.4,0.823,0.77,0.147
430,AMEN,Sarkodie,hip hop,west africa,chill,0.55,129.9,0.532,0.822,0.568
431,IANGTJTY,Shatta Wale,dancehall,west africa,intense,0.685,73.6,0.472,0.671,0.151
432,MEMORIES (feat. Ir Sais),Stonebwoy,dancehall,west africa,intense,0.722,90.0,0.549,0.805,0.44
433,The Victory Song,Black Sherif,afrobeats,west africa,moody,0.422,142.0,0.201,0.585,0.407
434,SAD GIRLZ LUV MONEY,Amaarae,alte,west africa,moody,0.492,110.0,0.296,0.883,0.447
435,Don't Walk Away (feat. Sting),Youssou N'Dour,mbalax,west africa,moody,0.488,165.6,0.263,0.738,0.039
436,Moussolou,Salif Keita,mande,west africa,relaxed,0.501,104.6,0.629,0.58,0.586
437,Agolo,Angelique Kidjo,afropop,west africa,happy,0.808,94.0,0.835,0.701,0.037
438,Tenere Den,Tinariwen,desert blues,west africa,intense,0.909,91.4,0.436,0.593,0.157
439,A Flyé,Fally Ipupa,rumba,central africa,intense,0.625,141.0,0.536,0.487,0.198
440,Motomolo,Koffi Olomide,rumba,central africa,happy,0.822,123.9,0.902,0.489,0.358
441,Phrase,Papa Wemba,rumba,central africa,relaxed,0.556,158.0,0.632,0.582,0.685
442,Maboko Milayi,Innoss'B,rumba,central africa,happy,0.878,117.0,0.961,0.804,0.736
443,Aurora Sunrise,FRANCO,rumba,central africa,intense,0.744,161.9,0.525,0.48,0.009
444,Skeleton Move,Master KG,amapiano,southern africa,relaxed,0.557,125.2,0.934,0.613,0.177
445,"Ufunani (feat. Aymos, Kelvin Momo & Jay Sax)",Kabza De Small,amapiano,southern africa,intense,0.773,113.0,0.55,0.825,0.001
446,Koko (feat. Mhaw Keys),DJ Maphorisa,amapiano,southern africa,relaxed,0.425,230.2,0.797,0.744,0.065
447,Sports Mode (feat. M.J & LastBornDiroba),Focalistic,amapiano,southern africa,intense,0.669,113.0,0.589,0.802,0.009
448,IS IT LOVE,Tyla,amapiano,southern africa,relaxed,0.595,89.0,0.799,0.741,0.051
449,Huku,Sho Madjozi,gqom,southern africa,happy,0.785,128.0,0.911,0.863,0.003
450,Strings And Bling,Nasty C,hip hop,southern africa,chill,0.556,140.0,0.38,0.75,0.05
451,Come With Me (feat. Mque),Black Coffee,house,southern africa,intense,0.623,125.0,0.231,0.826,0.034
452,Selingelethu Sonke,Ladysmith Black Mambazo,isicathamiya,southern africa,chill,0.281,94.6,0.496,0.365,0.887
453,Congo,Miriam Makeba,afropop,southern africa,moody,0.006,83.8,0.168,0.321,0.904
454,Demasiadas canciones,Zahara,afro soul,southern africa,intense,0.61,116.9,0.418,0.621,0.476
455,Makanak Fe Alby,Amr Diab,arabic pop,north africa & middle east,chill,0.573,72.1,0.481,0.386,0.529
456,Oul Tani Eyh,Nancy Ajram,arabic pop,north africa & middle east,happy,0.906,142.0,0.963,0.771,0.262
457,هنغني كمان وكمان,Elissa,arabic pop,north africa & middle east,happy,0.747,140.0,0.793,0.672,0.52
458,حبك لو غلطه,Tamer Hosny,arabic pop,north africa & middle east,intense,0.651,116.0,0.444,0.727,0.075
459,Ensay,Saad Lamjarred,arabic pop,north africa & middle east,happy,0.826,122.1,0.707,0.701,0.06
460,El Bent El Shalabeya,Fairuz,arabic classical,north africa & middle east,relaxed,0.378,86.1,0.746,0.621,0.803
461,Aghadan Alqak,Umm Kulthum,arabic classical,north africa & middle east,chill,0.292,104.5,0.478,0.395,0.977
462,Aïcha,Khaled,rai,north africa & middle east,intense,0.628,170.1,0.472,0.595,0.217
463,عفاريت الأسفلت,Wegz,hip hop,north africa & middle east,relaxed,0.528,143.1,0.801,0.85,0.505
464,Paris Dubaï,Mohamed Ramadan,arabic pop,north africa & middle east,happy,0.776,134.1,0.849,0.843,0.081
465,Anılarla Yaşamak,Tarkan,turkish pop,north africa & middle east,happy,0.663,122.9,0.763,0.792,0.122
466,Rakkas,Sezen Aksu,turkish pop,north africa & middle east,happy,0.854,116.0,0.767,0.753,0.724
467,TELEFONO NUEVO,Bad Bunny,reggaeton,latin america,intense,0.619,125.8,0.393,0.619,0.407
468,Perra,J Balvin,reggaeton,latin america,happy,0.952,98.0,0.747,0.906,0.079
469,200 COPAS,KAROL G,reggaeton,latin america,happy,0.704,91.2,0.885,0.515,0.767
470,El Desorden,Ozuna,reggaeton,latin america,happy,0.81,164.0,0.889,0.838,0.22
471,"Un Polvo (feat. Bad Bunny, Arcángel, Ñengo Flow & De La Ghetto)",Maluma,reggaeton,latin america,intense,0.681,134.1,0.468,0.811,0.673
472,Antologia,Shakira,latin pop,latin america,chill,0.403,98.0,0.575,0.839,0.5
473,La bikina - En vivo,Luis Miguel,latin pop,latin america,happy,0.71,160.4,0.666,0.389,0.161
474,Fuego,Juanes,latin rock,latin america,happy,0.66,95.2,0.934,0.745,0.058
475,Zoom - Remasterizado 2007,Soda Stereo,latin rock,latin america,happy,0.823,93.9,0.949,0.693,0.076
476,Soy Lo Prohibido (feat. Los Macorinos),Natalia Lafourcade,latin folk,latin america,moody,0.217,83.0,0.189,0.662,0.952
477,RUBICON,Peso Pluma,regional mexican,latin america,happy,0.816,140.0,0.915,0.758,0.136
478,un x100to,Grupo Frontera,regional mexican,latin america,intense,0.72,83.8,0.542,0.571,0.213
479,Pa' Mayte,Carlos Vives,vallenato,latin america,happy,0.872,123.9,0.967,0.716,0.029
480,Pedro Navaja (Live),Ruben Blades,salsa,latin america,happy,0.81,94.6,0.733,0.509,0.7
481,Pa'lla Voy,Marc Anthony,salsa,latin america,happy,0.926,96.0,0.966,0.692,0.509
482,La Guagua - 2024 Remaster,Celia Cruz,salsa,latin america,relaxed,0.51,178.4,0.933,0.567,0.889
483,Paradinha,Anitta,brazilian funk,latin america,happy,0.775,180.1,0.869,0.695,0.012
484,Toda Menina Baiana - Ao Vivo,Caetano Veloso,mpb,latin america,happy,0.888,120.0,0.808,0.701,0.458
485,Drão - Ao Vivo,Gilberto Gil,mpb,latin america,chill,0.399,152.6,0.444,0.442,0.375
486,O Namorado Da Viúva,Jorge Ben Jor,samba,latin america,happy,0.745,88.0,0.971,0.742,0.554
487,Stir It Up - Alternate Jamaican,Bob Marley,reggae,caribbean,relaxed,0.36,79.6,0.862,0.797,0.434
488,The Sun,Burning Spear,reggae,caribbean,relaxed,0.287,137.0,0.648,0.79,0.0
489,Love Is on the Mountain,Chronixx,reggae,caribbean,relaxed,0.551,133.1,0.832,0.753,0.151
490,Plantin Daiseys,Koffee,reggae,caribbean,relaxed,0.399,94.8,0.667,0.727,0.201
491,Living It Up,Damian Marley,reggae,caribbean,happy,0.687,97.0,0.802,0.782,0.057
492,Light My Fire (feat. Gwen Stefani & Shenseea),Sean Paul,dancehall,caribbean,happy,0.805,178.1,0.75,0.569,0.011
493,Love Me Browning,Buju Banton,dancehall,caribbean,relaxed,0.406,82.0,0.763,0.784,0.206
494,Work Me Out (with Wizkid),Shenseea,dancehall,caribbean,intense,0.692,109.0,0.554,0.81,0.054
495,Showtime,Machel Montano,soca,caribbean,intense,0.909,147.0,0.596,0.725,0.117
496,Mental Day,Kes,soca,caribbean,intense,0.863,130.0,0.207,0.844,0.053
497,"Yaad Hai Na (From ""Raaz Reboot"")",Arijit Singh,bollywood,south asia,chill,0.588,140.0,0.235,0.514,0.712
498,Kya Raaz Hai,Shreya Ghoshal,bollywood,south asia,intense,0.798,110.0,0.515,0.69,0.183
499,Kaalathukkum Nee Venum,A.R. Rahman,bollywood,south asia,chill,0.484,119.9,0.547,0.719,0.697
500,Ghata Chha Gayee Hai,Lata Mangeshkar,bollywood,south asia,relaxed,0.459,109.5,0.696,0.495,0.785
501,Dilbar,Neha Kakkar,bollywood,south asia,happy,0.912,104.1,0.674,0.725,0.155
502,"Chellamma (From ""Doctor"")",Anirudh Ravichander,tamil pop,south asia,happy,0.679,99.7,0.743,0.498,0.256
503,Yedurangula Vaana,Sid Sriram,tamil pop,south asia,chill,0.507,79.9,0.356,0.288,0.696
504,Case,Diljit Dosanjh,punjabi,south asia,happy,0.811,152.0,0.767,0.856,0.059
505,Bitch I'm Back,Sidhu Moose Wala,punjabi,south asia,happy,0.772,149.8,0.789,0.71,0.203
506,With You,AP Dhillon,punjabi,south asia,happy,0.744,117.0,0.925,0.78,0.161
507,Pehli Nazar Mein,Atif Aslam,pakistani pop,south asia,relaxed,0.57,169.7,0.668,0.488,0.251
508,Dam Mast Mast,Nusrat Fateh Ali Khan,qawwali,south asia,happy,0.838,169.7,0.673,0.7,0.037
509,Improvisations On The Theme Music From Pather Panchali - Digitally Remastered,Ravi Shankar,hindustani,south asia,chill,0.247,74.8,0.429,0.336,0.945
510,Burning Up (FIRE) - Live,BTS,k-pop,east asia,intense,0.918,98.9,0.31,0.546,0.011
511,As If It's Your Last,BLACKPINK,k-pop,east asia,intense,0.852,125.0,0.455,0.786,0.069
512,Chk Chk Boom,Stray Kids,k-pop,east asia,happy,0.74,102.0,0.844,0.925,0.166
513,How Sweet,NewJeans,k-pop,east asia,happy,0.895,125.0,0.757,0.803,0.082
514,THIS IS FOR,TWICE,k-pop,east asia,happy,0.742,128.0,0.919,0.796,0.149
515,Tanpa Pesan Terakhir,Seventeen,k-pop,east asia,intense,0.72,135.0,0.426,0.46,0.231
516,楓,Jay Chou,mandopop,east asia,moody,0.441,134.4,0.142,0.488,0.754
517,一封情書,Teresa Teng,mandopop,east asia,relaxed,0.453,104.2,0.626,0.619,0.583
518,可惜沒如果,JJ Lin,mandopop,east asia,moody,0.424,80.0,0.287,0.486,0.617
519,夜鷹 - Yodaka,Kenshi Yonezu,j-pop,east asia,intense,0.807,95.3,0.498,0.6,0.081
520,UNDEAD,YOASOBI,j-pop,east asia,happy,0.984,144.0,0.742,0.644,0.019
521,Love Like This,Fujii Kaze,j-pop,east asia,happy,0.701,115.0,0.675,0.732,0.134
522,KxAxWxAxIxI,BABYMETAL,j-metal,east asia,intense,0.882,75.0,0.397,0.69,0.008
523,Cold,Rich Brian,hip hop,southeast asia,intense,0.734,167.0,0.196,0.648,0.368
524,Oceans & Engines,NIKI,indie pop,southeast asia,moody,0.314,95.1,0.066,0.371,0.622
525,Hati-Hati di Jalan,Tulus,indo pop,southeast asia,relaxed,0.436,72.0,0.755,0.643,0.702
526,Si Paling Mahir,Raisa,indo pop,southeast asia,moody,0.39,158.0,0.15,0.348,0.898
527,Party In Bali (PIB),AGNEZ MO,indo pop,southeast asia,happy,0.685,120.0,0.695,0.86,0.051
528,Araw-Araw,Ben&Ben,opm,southeast asia,moody,0.425,140.9,0.21,0.475,0.579
529,Titibo-Tibo,Moira Dela Torre,opm,southeast asia,relaxed,0.377,119.7,0.789,0.815,0.856
530,"I Just Fall in Love Again - From ""Finally Found Someone""",Sarah Geronimo,opm,southeast asia,moody,0.431,72.5,0.139,0.476,0.663
531,"Hello, Anxiety",Phum Viphurit,indie pop,southeast asia,relaxed,0.495,126.0,0.808,0.84,0.589
532,Someone Like You,Adele,pop,europe,moody,0.319,135.2,0.294,0.556,0.893
533,Friends,Ed Sheeran,pop,europe,chill,0.158,93.3,0.455,0.516,0.783
534,Cemeteries of London,Coldplay,rock,europe,intense,0.806,109.1,0.271,0.437,0.005
535,Illusion (Live from the Royal Albert Hall),Dua Lipa,pop,europe,intense,0.854,127.1,0.304,0.59,0.051
536,Formidable,Stromae,french pop,europe,intense,0.629,70.6,0.498,0.513,0.099
537,42,Aya Nakamura,french pop,europe,happy,0.631,175.9,0.603,0.721,0.123
538,Le Noel de la Rue (From 'Christmas Songs'1953),Edith Piaf,chanson,europe,moody,0.131,131.1,0.178,0.366,0.959
